[2026-01-10 20:30:43] production.INFO: Method: getPlayersOnline. Start...  
[2026-01-10 20:33:27] production.INFO: Method: getPlayersOnline. Start...  
[2026-01-10 20:33:46] production.INFO: Method: getPlayersOnline. Start...  
[2026-01-10 20:37:11] production.INFO: Method: getPlayersOnline. Start...  
[2026-01-10 20:41:57] production.INFO: Method: getPlayersOnline. Start...  
[2026-01-10 20:51:16] production.INFO: Method: getPlayersOnline. Start...  
[2026-01-10 20:51:16] production.INFO: Method: getPlayersOnline. Server: 2. Player: 76561199227088338(Mr.Tefu). Prev online: 745, Server Online: 105306, Online: 5246. Diff online: 4501, All online: 105667, Monday online: 361, Thursday online: 0  
[2026-01-10 20:51:16] production.INFO: Method: getPlayersOnline. Server: 2. Player: 76561199100413312(ENES). Prev online: 12912, Server Online: 108940, Online: 34846. Diff online: 21934, All online: 168133, Monday online: 59193, Thursday online: 0  
[2026-01-10 20:51:16] production.INFO: Method: getPlayersOnline. Server: 2. Player: 76561198852854989(Tomagotchi). Prev online: 8329, Server Online: 41422, Online: 28111. Diff online: 19782, All online: 206051, Monday online: 164629, Thursday online: 0  
[2026-01-10 20:51:17] production.INFO: Method: getPlayersOnline. Server: 2. Player: 76561198081342880(afw). Prev online: 4613, Server Online: 38714, Online: 7755. Diff online: 3142, All online: 38714, Monday online: 0, Thursday online: 0  
[2026-01-10 20:51:17] production.INFO: Method: getPlayersOnline. Server: 2. Player: 76561199115846096(параллелепипед). Prev online: 4861, Server Online: 933581, Online: 9446. Diff online: 4585, All online: 1456676, Monday online: 474275, Thursday online: 0  
[2026-01-10 20:51:17] production.INFO: Method: getPlayersOnline. Server: 2. Player: 76561199433321396(!Samjok メ). Prev online: 14168, Server Online: 295344, Online: 996. Diff online: 4585, All online: 348774, Monday online: 53430, Thursday online: 0  
[2026-01-10 20:51:17] production.INFO: Method: getPlayersOnline. Server: 2. Player: 76561198875879063(|TLS| PuPok). Prev online: 667, Server Online: 93590, Online: 652. Diff online: 4585, All online: 235533, Monday online: 101773, Thursday online: 0  
[2026-01-10 20:51:17] production.INFO: Method: getPlayersOnline. Server: 2. Player: 76561198840346112(KoKetK@). Prev online: 1182, Server Online: 180097, Online: 4568. Diff online: 3386, All online: 265100, Monday online: 85003, Thursday online: 0  
[2026-01-10 20:51:17] production.INFO: Method: getPlayersOnline. Server: 2. Player: 76561199483384500(Berserk). Prev online: 334, Server Online: 156557, Online: 6436. Diff online: 6102, All online: 422706, Monday online: 262480, Thursday online: 0  
[2026-01-10 20:51:17] production.INFO: Method: getPlayersOnline. Server: 2. Player: 76561199102275932(CHECHEN). Prev online: 1682, Server Online: 225055, Online: 4917. Diff online: 3235, All online: 272388, Monday online: 47333, Thursday online: 0  
[2026-01-10 20:51:18] production.INFO: Method: getPlayersOnline. Server: 2. Player: 76561199092083808(76561199092083808). Prev online: 7339, Server Online: 602550, Online: 1146. Diff online: 3235, All online: 1044916, Monday online: 0, Thursday online: 0  
[2026-01-10 20:51:18] production.INFO: Method: getPlayersOnline. Server: 2. Player: 76561199404395486(rtacs Шумный). Prev online: 10270, Server Online: 301539, Online: 44995. Diff online: 34725, All online: 701339, Monday online: 332119, Thursday online: 0  
[2026-01-10 20:51:18] production.INFO: Method: getPlayersOnline. Server: 2. Player: 76561199389223170(Агент Писькогрыз). Prev online: 1977, Server Online: 387595, Online: 6036. Diff online: 4059, All online: 594702, Monday online: 171585, Thursday online: 0  
[2026-01-10 20:51:18] production.INFO: Method: getPlayersOnline. Server: 2. Player: 76561198296675702(GOOBA). Prev online: 2362, Server Online: 763973, Online: 7090. Diff online: 4728, All online: 1353482, Monday online: 509587, Thursday online: 0  
[2026-01-10 20:51:18] production.INFO: Method: getPlayersOnline. Server: 2. Player: 76561199568999320(.SYN 2mekocrasava). Prev online: 30933, Server Online: 0, Online: 30933. Diff online: 0, All online: 220113, Monday online: 220113, Thursday online: 0  
[2026-01-10 20:51:18] production.INFO: Method: getPlayersOnline. Server: 2. Player: 76561199251293554(Romana_Banana). Prev online: 290, Server Online: 535670, Online: 8631. Diff online: 8341, All online: 1221345, Monday online: 685675, Thursday online: 0  
[2026-01-10 20:51:19] production.INFO: Method: getPlayersOnline. Server: 2. Player: 76561199120398108(★PEPSIK★). Prev online: 3395, Server Online: 3522, Online: 282. Diff online: 8341, All online: 34433, Monday online: 30911, Thursday online: 0  
[2026-01-10 20:51:19] production.INFO: Method: getPlayersOnline. Server: 2. Player: 76561199438823502(dereluio). Prev online: 2046, Server Online: 2975, Online: 1055. Diff online: 8341, All online: 18664, Monday online: 15689, Thursday online: 0  
[2026-01-10 20:51:19] production.INFO: Method: getPlayersOnline. Server: 2. Player: 76561199544571817(She_De_Meri). Prev online: 4768, Server Online: 332966, Online: 44072. Diff online: 39304, All online: 332966, Monday online: 0, Thursday online: 0  
[2026-01-10 20:51:19] production.INFO: Method: getPlayersOnline. Server: 2. Player: 76561199245152126(.mT %fiya). Prev online: 7791, Server Online: 620586, Online: 2208. Diff online: 39304, All online: 1200545, Monday online: 126955, Thursday online: 0  
[2026-01-10 20:51:19] production.INFO: Method: getPlayersOnline. Server: 2. Player: 76561199539162794(МягкийМедведь). Prev online: 10576, Server Online: 916084, Online: 7923. Diff online: 39304, All online: 1694766, Monday online: 747224, Thursday online: 0  
[2026-01-10 20:51:19] production.INFO: Method: getPlayersOnline. Server: 2. Player: 76561198975743951(Jenny). Prev online: 4454, Server Online: 744063, Online: 42922. Diff online: 38468, All online: 1142172, Monday online: 0, Thursday online: 0  
[2026-01-10 20:51:20] production.INFO: Method: getPlayersOnline. Server: 2. Player: 76561198823328066(BuGaGa). Prev online: 2640, Server Online: 248715, Online: 9601. Diff online: 6961, All online: 248715, Monday online: 0, Thursday online: 0  
[2026-01-10 20:51:20] production.INFO: Method: getPlayersOnline. Server: 2. Player: 76561199251330984(я хороший). Prev online: 18797, Server Online: 322327, Online: 6481. Diff online: 6961, All online: 473466, Monday online: 151139, Thursday online: 0  
[2026-01-10 20:51:20] production.INFO: Method: getPlayersOnline. Server: 2. Player: 76561198163056848(Лобзик). Prev online: 8881, Server Online: 25709, Online: 26070. Diff online: 17189, All online: 305568, Monday online: 114739, Thursday online: 0  
[2026-01-10 20:51:20] production.INFO: Method: getPlayersOnline. Server: 2. Player: 76561199487955530(больная дура). Prev online: 333, Server Online: 767087, Online: 7702. Diff online: 7369, All online: 2046445, Monday online: 1190154, Thursday online: 0  
[2026-01-10 20:51:20] production.INFO: Method: getPlayersOnline. Server: 2. Player: 76561199207532549(GenAnus). Prev online: 6533, Server Online: 473025, Online: 13867. Diff online: 7334, All online: 599407, Monday online: 126382, Thursday online: 0  
[2026-01-10 20:51:21] production.INFO: Method: getPlayersOnline. Server: 2. Player: 76561199239415466([DK]ᴱᴿᴿᴼᴿ). Prev online: 25496, Server Online: 0, Online: 25496. Diff online: 0, All online: 0, Monday online: 0, Thursday online: 0  
[2026-01-10 20:51:21] production.INFO: Method: getPlayersOnline. Server: 2. Player: 76561198000802253(Мнение?). Prev online: 1474, Server Online: 267542, Online: 9690. Diff online: 8216, All online: 752673, Monday online: 73405, Thursday online: 0  
[2026-01-10 20:51:21] production.INFO: Method: getPlayersOnline. Server: 2. Player: 76561198322995983($176@Stetxem@176$). Prev online: 3872, Server Online: 508646, Online: 2277. Diff online: 8216, All online: 508646, Monday online: 0, Thursday online: 0  
[2026-01-10 20:51:21] production.INFO: Method: getPlayersOnline. Server: 2. Player: 76561199588087788(Denik). Prev online: 569, Server Online: 999339, Online: 14968. Diff online: 14399, All online: 1169962, Monday online: 169160, Thursday online: 0  
[2026-01-10 20:51:22] production.INFO: Method: getPlayersOnline. Server: 2. Player: 76561199046047597(mesojacked). Prev online: 10185, Server Online: 129501, Online: 16756. Diff online: 6571, All online: 129501, Monday online: 0, Thursday online: 0  
[2026-01-10 20:51:22] production.INFO: Method: getPlayersOnline. Server: 2. Player: 76561199489183336(brizz1x). Prev online: 188, Server Online: 1313957, Online: 32585. Diff online: 32397, All online: 2109525, Monday online: 795568, Thursday online: 0  
[2026-01-10 20:51:22] production.INFO: Method: getPlayersOnline. Server: 2. Player: 76561199211950937(123). Prev online: 15343, Server Online: 14929, Online: 5450. Diff online: 32397, All online: 14929, Monday online: 0, Thursday online: 0  
[2026-01-10 20:51:22] production.INFO: Method: getPlayersOnline. Server: 2. Player: 76561199834364821(PM | banana$). Prev online: 3617, Server Online: 23814, Online: 15881. Diff online: 12264, All online: 48712, Monday online: 24898, Thursday online: 0  
[2026-01-10 20:51:22] production.INFO: Method: getPlayersOnline. Server: 2. Player: 76561199652963607(Renè De Mariá). Prev online: 106, Server Online: 809766, Online: 8154. Diff online: 8048, All online: 1093077, Monday online: 283311, Thursday online: 0  
[2026-01-10 20:51:22] production.INFO: Method: getPlayersOnline. Server: 2. Player: 76561199487942489(็). Prev online: 3355, Server Online: 1991813, Online: 2930. Diff online: 8048, All online: 3576179, Monday online: 1573205, Thursday online: 0  
[2026-01-10 20:51:22] production.INFO: Method: getPlayersOnline. Server: 2. Player: 76561198380924806(UG | PEMEHb). Prev online: 630, Server Online: 76542, Online: 1860. Diff online: 1230, All online: 102665, Monday online: 26123, Thursday online: 0  
[2026-01-10 20:51:23] production.INFO: Method: getPlayersOnline. Server: 2. Player: 76561199668880304(.esqd| MERTVETS). Prev online: 4587, Server Online: 189873, Online: 24568. Diff online: 19981, All online: 295800, Monday online: 105927, Thursday online: 0  
[2026-01-10 20:51:23] production.INFO: Method: getPlayersOnline. Server: 2. Player: 76561199889396806(BD | mark). Prev online: 8399, Server Online: 46184, Online: 6706. Diff online: 19981, All online: 46184, Monday online: 0, Thursday online: 0  
[2026-01-10 20:51:23] production.INFO: Method: getPlayersOnline. Server: 2. Player: 76561199594427796(冰 I Kaon). Prev online: 2595, Server Online: 59035, Online: 1247. Diff online: 19981, All online: 61892, Monday online: 2857, Thursday online: 0  
